name,category,latitude,longitude,address,description,descriptionClean,priceRange,rating,timeMinutes,imageUrl,imagePath,provinsi,kotaKabupaten
Taman Situ Lembang,taman hiburan,-6.1978861,106.8346708,Jakarta,"Taman Situ Lembang adalah sebuah taman kota yang terletak di pusat Jakarta. Situ berarti danau yang payau, sedangkan Lembang adalah nama jalan yang berada di dekat taman tersebut..\nTaman ini merupakan salah satu taman tertua di Jakarta dan memiliki danau kecil yang airnya berasal dari sumber air alam. Di taman ini terletak fasilitas arena pemancingan, trek lari, dan arena permainan anak. Taman Situ Lembang dikelilingi oleh rumah-rumah di kawasan elite Menteng","Taman Situ Lembang adalah sebuah taman kota yang terletak di pusat Jakarta. Situ berarti danau yang payau, sedangkan Lembang adalah nama jalan yang berada di dekat taman tersebut..\nTaman ini merupakan salah satu taman tertua di Jakarta dan memiliki danau kecil yang airnya berasal dari sumber air alam. Di taman ini terletak fasilitas arena pemancingan, trek lari, dan arena permainan anak. Taman Situ Lembang dikelilingi oleh rumah-rumah di kawasan elite Menteng",Gratis,4.5,0.0,,,Jakarta,Jakarta
Taman Ismail Marzuki,budaya,-6.1891586,106.8397738,Jakarta,"Pusat Kesenian Jakarta Taman Ismail Marzuki yang populer disebut Taman Ismail Marzuki (TIM) merupakan sebuah pusat kesenian dan kebudayaan yang berlokasi di jalan Cikini Raya 73, Jakarta Pusat. Di sini terletak Institut Kesenian Jakarta dan Planetarium Jakarta. Selain itu, TIM juga memiliki enam teater modern, balai pameran, galeri, gedung arsip, dan bioskop. Acara-acara seni dan budaya dipertunjukkan secara rutin di pusat kesenian ini, termasuk pementasan drama, tari, wayang, musik, pembacaan puisi, pameran lukisan dan pertunjukan film. Berbagai jenis kesenian tradisional dan kontemporer, baik yang merupakan tradisi asli Indonesia maupun dari luar negeri juga dapat ditemukan di tempat ini. Nama pusat kesenian ini berasal dari nama pencipta lagu terkenal Indonesia, Ismail Marzuki.","Pusat Kesenian Jakarta Taman Ismail Marzuki yang populer disebut Taman Ismail Marzuki (TIM) merupakan sebuah pusat kesenian dan kebudayaan yang berlokasi di jalan Cikini Raya 73, Jakarta Pusat. Di sini terletak Institut Kesenian Jakarta dan Planetarium Jakarta. Selain itu, TIM juga memiliki enam teater modern, balai pameran, galeri, gedung arsip, dan bioskop. Acara-acara seni dan budaya dipertunjukkan secara rutin di pusat kesenian ini, termasuk pementasan drama, tari, wayang, musik, pembacaan puisi, pameran lukisan dan pertunjukan film. Berbagai jenis kesenian tradisional dan kontemporer, baik yang merupakan tradisi asli Indonesia maupun dari luar negeri juga dapat ditemukan di tempat ini. Nama pusat kesenian ini berasal dari nama pencipta lagu terkenal Indonesia, Ismail Marzuki.",5000,4.6,0.0,,,Jakarta,Jakarta
Galeri Indonesia Kaya,budaya,-6.1948499,106.8200607,Jakarta,"Galeri Indonesia Kaya (disingkat GIK) adalah ruang publik yang memadukan konsep edukasi dan digital dengan tujuan untuk memperkenalkan dan mengapresiasi seni-budaya Indonesia khususnya kepada generasi muda, yang bertempat di Grand Indonesia, Jakarta, Indonesia. Galeri Indonesia Kaya digagas dan dibangun untuk menjadi ruang edutainment budaya berbasis teknologi digital yang dapat mendekatkan dan menyalurkan kreativitas berekspresi generasi muda dalam lingkup tradisi budaya nusantara. Tempat ini memiliki auditorium yang dapat digunakan untuk masyarakat yang membutuhkan tempat berkarya.","Galeri Indonesia Kaya (disingkat GIK) adalah ruang publik yang memadukan konsep edukasi dan digital dengan tujuan untuk memperkenalkan dan mengapresiasi seni-budaya Indonesia khususnya kepada generasi muda, yang bertempat di Grand Indonesia, Jakarta, Indonesia. Galeri Indonesia Kaya digagas dan dibangun untuk menjadi ruang edutainment budaya berbasis teknologi digital yang dapat mendekatkan dan menyalurkan kreativitas berekspresi generasi muda dalam lingkup tradisi budaya nusantara. Tempat ini memiliki auditorium yang dapat digunakan untuk masyarakat yang membutuhkan tempat berkarya.",Gratis,4.8,90.0,,,Jakarta,Jakarta
Museum Joang 45,budaya,-6.1861838,106.8364761,Jakarta,"Gedung Joang '45 atau Museum Joang 45 adalah salah satu museum yang berada di Jakarta. Saat ini pengelolaannya dilaksanakan oleh Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta. Museum ini terletak di Jalan Menteng Raya 31, Kelurahan Kebon Sirih, Kecamatan Menteng, Jakarta Pusat. Museum ini diresmikan pada tahun 1974 oleh Presiden Soeharto, setelah dilakukan renovasi.","Gedung Joang '45 atau Museum Joang 45 adalah salah satu museum yang berada di Jakarta. Saat ini pengelolaannya dilaksanakan oleh Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta. Museum ini terletak di Jalan Menteng Raya 31, Kelurahan Kebon Sirih, Kecamatan Menteng, Jakarta Pusat. Museum ini diresmikan pada tahun 1974 oleh Presiden Soeharto, setelah dilakukan renovasi.",2000,4.0,0.0,,,Jakarta,Jakarta
Jakarta Planetarium,taman hiburan,-6.1900819,106.8388532,Jakarta,"Planetarium dan Observatorium Jakarta adalah satu dari tiga wahana simulasi langit di Indonesia selain di Kutai, Kalimantan Timur, dan Surabaya, Jawa Timur. Planetarium tertua ini letaknya di Taman Ismail Marzuki, Jakarta. Planetarium Jakarta merupakan sarana wisata pendidikan yang dapat menyajikan pertunjukan / peragaan simulasi perbintangan atau benda-benda langit. Pengunjung diajak mengembara di jagat raya untuk memahami konsepsi tentang alam semesta melalui acara demi acara. Planetarium Jakarta berdiri tahun 1964 diprakarsai Presiden Soekarno dan diserahkan ke Pemerintah Provinsi DKI Jakarta pada 1969. Di tempat ini juga tersedia ruang pameran benda- benda angkasa yang menyuguhkan berbagai foto serta keterangan lengkap dari berbagai bentuk galaksi, teori-teori pembentukan galaksi disertai pengenalan tokoh-tokoh di balik munculnya teori.","Planetarium dan Observatorium Jakarta adalah satu dari tiga wahana simulasi langit di Indonesia selain di Kutai, Kalimantan Timur, dan Surabaya, Jawa Timur. Planetarium tertua ini letaknya di Taman Ismail Marzuki, Jakarta. Planetarium Jakarta merupakan sarana wisata pendidikan yang dapat menyajikan pertunjukan / peragaan simulasi perbintangan atau benda-benda langit. Pengunjung diajak mengembara di jagat raya untuk memahami konsepsi tentang alam semesta melalui acara demi acara. Planetarium Jakarta berdiri tahun 1964 diprakarsai Presiden Soekarno dan diserahkan ke Pemerintah Provinsi DKI Jakarta pada 1969. Di tempat ini juga tersedia ruang pameran benda- benda angkasa yang menyuguhkan berbagai foto serta keterangan lengkap dari berbagai bentuk galaksi, teori-teori pembentukan galaksi disertai pengenalan tokoh-tokoh di balik munculnya teori.",12000,4.1,120.0,,,Jakarta,Jakarta
Kampung Cina,budaya,-6.3651357,106.7617984,Jakarta,"KAMPUNG China adalah hunian dan kawasan perdagangan di Cibubur, Jakarta Timur. Wilayah ini berdiri berkat kerja sama antara Pemerintah Kota Jakarta Timur dengan perusahaan asing untuk menyulap area 300 hektare kawasan wisata Cibubur menjadi kota wisata, mandiri dan town center. Mengutip buku Ensiklopedia Jakarta, kampung itu mulai beroperasi pada tanggal 14 September 2002. Bangunan, nuansa alam, sampai pernak-pernik yang dijual masih berbau kesenian China. Semua produk yang dijajahkan pun berasal dari negeri tirai bambu tersebut. Wilayah itu akan menjadi tujuan wisata pada setiap perayaan hari raya Imlek.","KAMPUNG China adalah hunian dan kawasan perdagangan di Cibubur, Jakarta Timur. Wilayah ini berdiri berkat kerja sama antara Pemerintah Kota Jakarta Timur dengan perusahaan asing untuk menyulap area 300 hektare kawasan wisata Cibubur menjadi kota wisata, mandiri dan town center. Mengutip buku Ensiklopedia Jakarta, kampung itu mulai beroperasi pada tanggal 14 September 2002. Bangunan, nuansa alam, sampai pernak-pernik yang dijual masih berbau kesenian China. Semua produk yang dijajahkan pun berasal dari negeri tirai bambu tersebut. Wilayah itu akan menjadi tujuan wisata pada setiap perayaan hari raya Imlek.",15000,4.5,0.0,,,Jakarta,Jakarta
Rumah Sipitung,budaya,-6.10016,106.96057,Jakarta,"Rumah Si Pitung di Marunda, Jakarta Utara, Indonesia, merupakan satu dari sedikit rumah panggung Betawi yang tersisa. Rumah panggung ini merupakan representasi hunian panggung masyarakat Betawi yang tinggal di wilayah-wilayah Pesisir. Rumah ini menjadi museum dan masuk dalam cagar budaya. Tidak diketahui kapan persisnya Rumah Si Pitung didirikan. Diperkirakan bangunan tersebut dibangun pada abad ke-20. Rumah panggung yang sering juga disebut Rumah Tinggi Marunda ini mirip dengan rumah tradisional Suku Bugis. Rumah ini tadinya milik Haji Saipudin, seorang saudagar kaya bandar ikan asal Makassar (sumber lain mengatakan Haji Saipudin adalah juragan sero, atau konglomerat kapal). Haji Saipuddin diyakini merupakan sahabat erat Si Pitung. Pitung ditengarai hanya beberapa kali singgah di rumah itu (diperkirakan pada dasawarsa 1890-an). Singgahnya Si Pitung terakhir kali adalah dalam rangka bersembunyi dari kejaran tentara Belanda dengan tuduhan merampok. Pemerintah DKI Jakarta pertama kali memugar rumah panggung yang ditopang oleh 40 buah tiang itu pada tahun 1972. Sebelumnya pada tahun yang sama bangunan ini dibeli oleh Pemprov DKI Jakarta dari keturunan (ahli waris) H. Saipudin. Bangunan tersebut kini menjadi museum dan masuk dalam cagar budaya berdasarkan SK Gubernur No.475 tahun 1993 dan SK Menteri No.140/M/1998. Lembaga yang memberi nama rumah asli Betawi Pesisir ini sebagai rumah Si Pitung adalah Museum Nasional.","Rumah Si Pitung di Marunda, Jakarta Utara, Indonesia, merupakan satu dari sedikit rumah panggung Betawi yang tersisa. Rumah panggung ini merupakan representasi hunian panggung masyarakat Betawi yang tinggal di wilayah-wilayah Pesisir. Rumah ini menjadi museum dan masuk dalam cagar budaya. Tidak diketahui kapan persisnya Rumah Si Pitung didirikan. Diperkirakan bangunan tersebut dibangun pada abad ke-20. Rumah panggung yang sering juga disebut Rumah Tinggi Marunda ini mirip dengan rumah tradisional Suku Bugis. Rumah ini tadinya milik Haji Saipudin, seorang saudagar kaya bandar ikan asal Makassar (sumber lain mengatakan Haji Saipudin adalah juragan sero, atau konglomerat kapal). Haji Saipuddin diyakini merupakan sahabat erat Si Pitung. Pitung ditengarai hanya beberapa kali singgah di rumah itu (diperkirakan pada dasawarsa 1890-an). Singgahnya Si Pitung terakhir kali adalah dalam rangka bersembunyi dari kejaran tentara Belanda dengan tuduhan merampok. Pemerintah DKI Jakarta pertama kali memugar rumah panggung yang ditopang oleh 40 buah tiang itu pada tahun 1972. Sebelumnya pada tahun yang sama bangunan ini dibeli oleh Pemprov DKI Jakarta dari keturunan (ahli waris) H. Saipudin. Bangunan tersebut kini menjadi museum dan masuk dalam cagar budaya berdasarkan SK Gubernur No.475 tahun 1993 dan SK Menteri No.140/M/1998. Lembaga yang memberi nama rumah asli Betawi Pesisir ini sebagai rumah Si Pitung adalah Museum Nasional.",5000,4.5,90.0,,,Jakarta,Jakarta
Taman Agrowisata Cilangkap,taman hiburan,-6.3401514,106.9012561,Jakarta,"Taman seluas sekitar 19 hektar ini dimiliki oleh pemerintah Provinsi (Pemprov) DKI Jakarta yang dikelola oleh Dinas Pertanian dan Kehutanan DKI. Taman Wisata Agro Cilangkap ini terletak di Jalan Raya Cilangkap No.45, Jakarta Timur. Taman ini terasa begitu permai dengan tumbuhnya aneka jenis pepohonan rindang. Kesejukan udara yang jauh dari polusi asap kendaraan bermotor, juga dapat dinikmati di taman yang dijadikan alternatif destinasi wisata bagi warga berdomisili di sekitar kawasan tersebut. Taman Wisata Agro Cilangkap juga dilengkapi dengan beberapa fasilitas seperti arena olahraga, jogging track, arena bermain anak, serta bagi sobat Ayojakarta yang memiliki hobi memancing, di sekitar area taman memiliki danau yang biasanya dijadikan area untuk memancing.","Taman seluas sekitar 19 hektar ini dimiliki oleh pemerintah Provinsi (Pemprov) DKI Jakarta yang dikelola oleh Dinas Pertanian dan Kehutanan DKI. Taman Wisata Agro Cilangkap ini terletak di Jalan Raya Cilangkap No.45, Jakarta Timur. Taman ini terasa begitu permai dengan tumbuhnya aneka jenis pepohonan rindang. Kesejukan udara yang jauh dari polusi asap kendaraan bermotor, juga dapat dinikmati di taman yang dijadikan alternatif destinasi wisata bagi warga berdomisili di sekitar kawasan tersebut. Taman Wisata Agro Cilangkap juga dilengkapi dengan beberapa fasilitas seperti arena olahraga, jogging track, arena bermain anak, serta bagi sobat Ayojakarta yang memiliki hobi memancing, di sekitar area taman memiliki danau yang biasanya dijadikan area untuk memancing.",Gratis,4.2,0.0,,,Jakarta,Jakarta
Klenteng Jin De Yuan,tempat ibadah,-6.1444737,106.8126018,Jakarta,"Kelenteng Kim Tek Le, atau yang lebih dikenal dengan Kelenteng Jin De Yuan, sudah dibangun sejak 1650. Kelenteng yang disebut-sebut sebagai yang tertua di Jakarta ini didirikan oleh seorang Letnan Tionghoa, Kwee Hoen dan awalnya dinamakan Koan Im Teng. Jin De Yuan juga dikenal sebagai salah satu dari empat kelenteng besar yang dikelola oleh Kong Koan atau Dewan Tionghoa. Mereka adalah Kelenteng Goenoeng Sari, Kelenteng Toa Peh Kong, Kelenteng Jin De yuan sendiri, dan Kelenteng Hian Thian Shang di Tanah Tandjoeng yang kini sudah musnah.","Kelenteng Kim Tek Le, atau yang lebih dikenal dengan Kelenteng Jin De Yuan, sudah dibangun sejak 1650. Kelenteng yang disebut-sebut sebagai yang tertua di Jakarta ini didirikan oleh seorang Letnan Tionghoa, Kwee Hoen dan awalnya dinamakan Koan Im Teng. Jin De Yuan juga dikenal sebagai salah satu dari empat kelenteng besar yang dikelola oleh Kong Koan atau Dewan Tionghoa. Mereka adalah Kelenteng Goenoeng Sari, Kelenteng Toa Peh Kong, Kelenteng Jin De yuan sendiri, dan Kelenteng Hian Thian Shang di Tanah Tandjoeng yang kini sudah musnah.",Gratis,4.5,0.0,,,Jakarta,Jakarta
Pantai Ancol,bahari,-6.1194215,106.8502435,Jakarta,"Pantai Ancol merupakan kawasan wisata yang merupakan destinasi wisata pantai dalam kota Jakarta. Wisatawan dapat menikmati suasana segar Pantai Lagoon, Festival, Indah, Beach Pool dan Carnaval, serta Danau Impian. Berlibur di alam terbuka dipercaya memiliki efek menenangkan dan menyenangkan. Panjang garis pantainya yang kurang lebih 6,5 km menjadi tempat berbagai aktivitas wisata. Wisata pantai ini merupakan BUMD penghasil Pendapatan Asli Daerah kedua terbesar bagi provinsi DKI Jakarta.","Pantai Ancol merupakan kawasan wisata yang merupakan destinasi wisata pantai dalam kota Jakarta. Wisatawan dapat menikmati suasana segar Pantai Lagoon, Festival, Indah, Beach Pool dan Carnaval, serta Danau Impian. Berlibur di alam terbuka dipercaya memiliki efek menenangkan dan menyenangkan. Panjang garis pantainya yang kurang lebih 6,5 km menjadi tempat berbagai aktivitas wisata. Wisata pantai ini merupakan BUMD penghasil Pendapatan Asli Daerah kedua terbesar bagi provinsi DKI Jakarta.",25000,4.4,0.0,,,Jakarta,Jakarta
Taman Lapangan Banteng,taman hiburan,-6.170555,106.8350378,Jakarta,"Lapangan Banteng, dulu bernama Waterlooplein (bahasa Belanda: plein = lapangan) yaitu suatu lapangan yang terletak di Weltevreden, Batavia; tidak jauh dari Gereja Katedral Jakarta. Pada masa itu, Lapangan Banteng dikenal dengan sebutan Lapangan Singa[1] karena di tengahnya terpancang tugu peringatan kemenangan pertempuran di Waterloo, dengan patung singa di atasnya. Pertempuran Waterloo tersebut terjadi tanggal 18 Juni 1815 di dekat kota Waterloo, yaitu sekitar 15 km ke arah selatan dari ibu kota Belgia, Brussels. Pertempuran itu merupakan pertempuran terakhir Napoleon melawan pasukan gabungan Inggris-Belanda-Jerman. Pertempuran ini juga dicatat dalam sejarah sebagai penutup dari seratus hari sejak larinya Napoleon dari pengasingannya di pulau Elba. Sedangkan Tugu Singa tersebut didirikan pada zaman pemerintahan pendudukan tentara Jepang (1942-1945). Setelah Indonesia merdeka, namanya diganti menjadi Lapangan Banteng. Terdapat kemungkinan pada zaman dahulu tempat yang kini menjadi lapangan itu dihuni berbagai macam satwa liar seperti macan, kijang, dan banteng. Pada waktu J.P. Coen membangun kota Batavia di dekat muara Ciliwung, lapangan tersebut dan sekelilingnya masih berupa hutan belantara yang sebagian berpaya–paya. Sebelah timur dijalan Lapangan banteng timur tedapat Kantor Satlantas Polres jakarta Pusat.","Lapangan Banteng, dulu bernama Waterlooplein (bahasa Belanda: plein = lapangan) yaitu suatu lapangan yang terletak di Weltevreden, Batavia; tidak jauh dari Gereja Katedral Jakarta. Pada masa itu, Lapangan Banteng dikenal dengan sebutan Lapangan Singa[1] karena di tengahnya terpancang tugu peringatan kemenangan pertempuran di Waterloo, dengan patung singa di atasnya. Pertempuran Waterloo tersebut terjadi tanggal 18 Juni 1815 di dekat kota Waterloo, yaitu sekitar 15 km ke arah selatan dari ibu kota Belgia, Brussels. Pertempuran itu merupakan pertempuran terakhir Napoleon melawan pasukan gabungan Inggris-Belanda-Jerman. Pertempuran ini juga dicatat dalam sejarah sebagai penutup dari seratus hari sejak larinya Napoleon dari pengasingannya di pulau Elba. Sedangkan Tugu Singa tersebut didirikan pada zaman pemerintahan pendudukan tentara Jepang (1942-1945). Setelah Indonesia merdeka, namanya diganti menjadi Lapangan Banteng. Terdapat kemungkinan pada zaman dahulu tempat yang kini menjadi lapangan itu dihuni berbagai macam satwa liar seperti macan, kijang, dan banteng. Pada waktu J.P. Coen membangun kota Batavia di dekat muara Ciliwung, lapangan tersebut dan sekelilingnya masih berupa hutan belantara yang sebagian berpaya–paya. Sebelah timur dijalan Lapangan banteng timur tedapat Kantor Satlantas Polres jakarta Pusat.",Gratis,4.7,0.0,,,Jakarta,Jakarta
Taman Ayodya,taman hiburan,-6.2452294,106.7946655,Jakarta,"Taman Ayodya, yang dulu bernama Taman Barito, adalah sebuah taman kota yang berada di Jakarta Selatan. Taman ini berlokasi di atas lahan seluas 7.500 m2, dilengkapi dengan kolam buatan seluas 1.500 m2 di tengahnya.\nTaman Ayodya juga dilengkapi dengan jalur pijakan, kursi, gazebo, pendopo, kamar mandi, serta trek jogging.. Di dekat taman ini terdapat hotel dan pasar seperti Hotel Gran Mahakam, Plaza Blok M, Pasar Burung Barito, Mal Kebayoran Baru, dan Pasar Taman Puring.\nTaman ini bersebelahan dengan Taman Langsat hanya dengan menyebrang jalan raya saja.","Taman Ayodya, yang dulu bernama Taman Barito, adalah sebuah taman kota yang berada di Jakarta Selatan. Taman ini berlokasi di atas lahan seluas 7.500 m2, dilengkapi dengan kolam buatan seluas 1.500 m2 di tengahnya.\nTaman Ayodya juga dilengkapi dengan jalur pijakan, kursi, gazebo, pendopo, kamar mandi, serta trek jogging.. Di dekat taman ini terdapat hotel dan pasar seperti Hotel Gran Mahakam, Plaza Blok M, Pasar Burung Barito, Mal Kebayoran Baru, dan Pasar Taman Puring.\nTaman ini bersebelahan dengan Taman Langsat hanya dengan menyebrang jalan raya saja.",Gratis,4.4,45.0,,,Jakarta,Jakarta
Museum Sumpah Pemuda,budaya,-6.1838388,106.8430507,Jakarta,"Museum Sumpah Pemuda adalah sebuah museum sejarah perjuangan kemerdekaan Republik Indonesia yang berada di Jalan Kramat Raya No. 106, Jakarta Pusat dan dikelola oleh Kementerian Pendidikan dan Kebudayaan Republik Indonesia. Museum ini dibuka untuk umum, setiap hari Selasa sampai dengan Jumat dari pukul 08.00 hingga 16.00 UTC+7, setiap Sabtu dan Minggu pada pukul 08.00—16.00 WIB, dan setiap hari Senin dan hari besar nasional, museum ini ditutup untuk umum.\nMuseum ini memiliki koleksi foto dan benda-benda yang berhubungan dengan sejarah Sumpah Pemuda 1928, serta kegiatan-kegiatan dalam pergerakan nasional kepemudaan Indonesia. Museum Sumpah Pemuda ini didirikan berdasarkan SK Gubernur DKI Jakarta pada tahun 1972 dan menjadi benda cagar budaya nasional.","Museum Sumpah Pemuda adalah sebuah museum sejarah perjuangan kemerdekaan Republik Indonesia yang berada di Jalan Kramat Raya No. 106, Jakarta Pusat dan dikelola oleh Kementerian Pendidikan dan Kebudayaan Republik Indonesia. Museum ini dibuka untuk umum, setiap hari Selasa sampai dengan Jumat dari pukul 08.00 hingga 16.00 UTC+7, setiap Sabtu dan Minggu pada pukul 08.00—16.00 WIB, dan setiap hari Senin dan hari besar nasional, museum ini ditutup untuk umum.\nMuseum ini memiliki koleksi foto dan benda-benda yang berhubungan dengan sejarah Sumpah Pemuda 1928, serta kegiatan-kegiatan dalam pergerakan nasional kepemudaan Indonesia. Museum Sumpah Pemuda ini didirikan berdasarkan SK Gubernur DKI Jakarta pada tahun 1972 dan menjadi benda cagar budaya nasional.",2000,4.7,0.0,,,Jakarta,Jakarta
Museum Tekstil,budaya,-6.1879634,106.8096081,Jakarta,"Museum cinta Tekstil menempati gedung tua di Jalan K.S. Tubun / Kota Bambu Selatan No. 4 Kecamatan Palmerah, Jakarta Barat\n\nGedungnya sendiri pada mulanya adalah rumah pribadi seorang warga negara Prancis yang dibangun pada abad ke-19. Kemudian dibeli oleh konsul Turki bernama Abdul Azis Almussawi Al Kazimi yang menetap di Indonesia. Selanjutnya tahun 1942 dijual kepada Dr. Karel Christian Cruq.\nPada masa perjuangan kemerdekaan Indonesia, gedung ini menjadi markas Barisan Keamanan Rakyat (BKR) dan tahun 1947 didiami oleh Lie Sion Pin. Pada tahun 1952 dibeli oleh Departemen Sosial dan pada tanggal 25 Oktober 1975 diserahkan kepada Pemda DKI Jakarta yang untuk kemudian pada tanggal 28 Juni 1976 diresmikan penggunaannya oleh Ibu Tien Soeharto sebagai Museum Tekstil.","Museum cinta Tekstil menempati gedung tua di Jalan K.S. Tubun / Kota Bambu Selatan No. 4 Kecamatan Palmerah, Jakarta Barat\n\nGedungnya sendiri pada mulanya adalah rumah pribadi seorang warga negara Prancis yang dibangun pada abad ke-19. Kemudian dibeli oleh konsul Turki bernama Abdul Azis Almussawi Al Kazimi yang menetap di Indonesia. Selanjutnya tahun 1942 dijual kepada Dr. Karel Christian Cruq.\nPada masa perjuangan kemerdekaan Indonesia, gedung ini menjadi markas Barisan Keamanan Rakyat (BKR) dan tahun 1947 didiami oleh Lie Sion Pin. Pada tahun 1952 dibeli oleh Departemen Sosial dan pada tanggal 25 Oktober 1975 diserahkan kepada Pemda DKI Jakarta yang untuk kemudian pada tanggal 28 Juni 1976 diresmikan penggunaannya oleh Ibu Tien Soeharto sebagai Museum Tekstil.",5000,4.5,45.0,,,Jakarta,Jakarta
Tugu Proklamasi,budaya,-6.2030468,106.8466623,Jakarta,"Tugu Proklamasi adalah tugu peringatan proklamasi kemerdekaan Republik Indonesia yang berdiri di kompleks Taman Proklamasi di Jalan Proklamasi, Jakarta Pusat. Taman tersebut berlokasi di bekas kediaman Sukarno di Jalan Pegangsaan Timur 56. Rumah tersebut, telah dihancurkan, adalah lokasi pembacaan proklamasi kemerdekaan.Pada kompleks juga terdapat monumen dua patung Sukarno-Hatta berukuran besar yang berdiri berdampingan, mirip dengan dokumentasi foto ketika naskah proklamasi pertama kali dibacakan. Di tengah-tengah dua patung proklamator terdapat patung naskah proklamasi terbuat dari lempengan batu marmer hitam, dengan susunan dan bentuk tulisan mirip dengan naskah ketikan aslinya.","Tugu Proklamasi adalah tugu peringatan proklamasi kemerdekaan Republik Indonesia yang berdiri di kompleks Taman Proklamasi di Jalan Proklamasi, Jakarta Pusat. Taman tersebut berlokasi di bekas kediaman Sukarno di Jalan Pegangsaan Timur 56. Rumah tersebut, telah dihancurkan, adalah lokasi pembacaan proklamasi kemerdekaan.Pada kompleks juga terdapat monumen dua patung Sukarno-Hatta berukuran besar yang berdiri berdampingan, mirip dengan dokumentasi foto ketika naskah proklamasi pertama kali dibacakan. Di tengah-tengah dua patung proklamator terdapat patung naskah proklamasi terbuat dari lempengan batu marmer hitam, dengan susunan dan bentuk tulisan mirip dengan naskah ketikan aslinya.",Gratis,4.6,0.0,,,Jakarta,Jakarta
Taman Legenda Keong Emas,taman hiburan,-6.3039042,106.8936219,Jakarta,"Taman Legenda Keong Emas merupakan salah satu tempat rekreasi favorit yang ada di kawasan Jakarta Timur. Berada di dalam lokasi Taman Mini Indonesia Indah atau TMII, Taman Legenda Keong Emas TMII juga telah menjadi ikon di dalam pusat sarana wisata terbesar di Indonesia ini. Selain sebagai sarana rekreasi untuk seluruh keluarga, Taman Legenda Keong Emas TMII juga mempunyai visi dan misi untuk mengedukasi masyarakat sekaligus melestarikan warisan kebudayaan Indonesia, salah satunya melalui legenda cerita rakyat.","Taman Legenda Keong Emas merupakan salah satu tempat rekreasi favorit yang ada di kawasan Jakarta Timur. Berada di dalam lokasi Taman Mini Indonesia Indah atau TMII, Taman Legenda Keong Emas TMII juga telah menjadi ikon di dalam pusat sarana wisata terbesar di Indonesia ini. Selain sebagai sarana rekreasi untuk seluruh keluarga, Taman Legenda Keong Emas TMII juga mempunyai visi dan misi untuk mengedukasi masyarakat sekaligus melestarikan warisan kebudayaan Indonesia, salah satunya melalui legenda cerita rakyat.",30000,4.5,0.0,,,Jakarta,Jakarta
Museum Kebangkitan Nasional,budaya,-6.178352,106.838094,Jakarta,"Museum Kebangkitan Nasional (bahasa Inggris: Museum of National Awakening) adalah sebuah gedung yang dibangun sebagai monumen tempat lahir dan berkembangnya kesadaran nasional dan juga ditemukannya organisasi pergerakan modern pertama kali dengan nama Boedi Oetomo. Sebelum menjadi museum, bangunan ini dahulunya adalah sekolah kedokteran yang didirikan oleh Belanda dengan nama School tot Opleiding van Inlandsche Artsen disingkat STOVIA atau Sekolah Dokter Bumiputra. Dalam perjalanannya, gedung tersebut selalu beralih fungsi. Lokasi museum ini tidak jauh dari Pasar Senen, tepatnya di Jalan Abdurrahman Saleh No.26, sebelum RSPAD Gatot Subroto, Jakarta Pusat.","Museum Kebangkitan Nasional (bahasa Inggris: Museum of National Awakening) adalah sebuah gedung yang dibangun sebagai monumen tempat lahir dan berkembangnya kesadaran nasional dan juga ditemukannya organisasi pergerakan modern pertama kali dengan nama Boedi Oetomo. Sebelum menjadi museum, bangunan ini dahulunya adalah sekolah kedokteran yang didirikan oleh Belanda dengan nama School tot Opleiding van Inlandsche Artsen disingkat STOVIA atau Sekolah Dokter Bumiputra. Dalam perjalanannya, gedung tersebut selalu beralih fungsi. Lokasi museum ini tidak jauh dari Pasar Senen, tepatnya di Jalan Abdurrahman Saleh No.26, sebelum RSPAD Gatot Subroto, Jakarta Pusat.",2000,4.7,45.0,,,Jakarta,Jakarta
Museum Sasmita Loka Ahmad Yani,budaya,-6.2046303,106.8365324,Jakarta,"Museum Sasmita Loka Ahmad Yani adalah salah satu museum pahlawan nasional yang terletak di jalan Lembang No. 58 dan jalan Laruharhari No. 65, Jakarta Pusat, DKI Jakarta, Indonesia. Museum ini terbuka untuk umum dari hari Selasa hingga hari Minggu, dari pukul 08:00 hingga pukul 14:00 WIB. Setiap hari Senin museum ini ditutup untuk umum.","Museum Sasmita Loka Ahmad Yani adalah salah satu museum pahlawan nasional yang terletak di jalan Lembang No. 58 dan jalan Laruharhari No. 65, Jakarta Pusat, DKI Jakarta, Indonesia. Museum ini terbuka untuk umum dari hari Selasa hingga hari Minggu, dari pukul 08:00 hingga pukul 14:00 WIB. Setiap hari Senin museum ini ditutup untuk umum.",2000,4.7,45.0,,,Jakarta,Jakarta
